keyword,uses
visual(s/ly/ize),43
easy/easily,41
made/make(s),39
story/storytelling,38
understand(ing/able)/comprehend,35
information/informative,34
animation/animated,30
help(ful/ing)/aid,26
interest(ed/ing),22
show(s),17
detail(s/ed/ing),16
point(s),14
number(s)/data,13
clear(er),12
follow,12
good/great,12
news,11
(pay) attention,11
statistic(s)/comparison,9
explain(ed/ing)/explanation(s),9
map(s)/area/location,9
give/giving,8
appealing,7
happened,7
relevant,7
feel,6
memorable/remember,6
work(s/ed),6
full/entire/comprehensive,6
people,5
time,5
engag(ed/ing),5
graph(s),5
impact(ful),5
important,5
picture/image(s)/depiction,5
cool(er),5
compelling,4
hear(ing),4
simple,4
subject/topic(s),4
provide(d),4
attractive,3
(less) boring,3
broke (up the story),3
eye,3
fact,3
love,3
illustrate/illustration,3
catch(ing)/caught,3
